,ID,Username,Date,Retweet,Tweet,Hashtags,RT,SA,Float
0,1092706385492463616,swaranesia1,2019-02-05 08:47:58,,nat Bisik bisik menukik maaf,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092706340407918592,aedvignetteart,2019-02-05 08:47:47,Libur ngopi dulu sambil menjaga stamina untuk sebuah perubahan yang baru Patters Partaidemokratjaya,,,6,Positif,0.9631184935569763
0,1092705767294099457,swaranesia1,2019-02-05 08:45:31,,Jiwa Merdeka adalah Bisikan Suci,2019GantiPresiden ,0,Positif,0.9422117471694946
0,1092705755122130950,jojoerfan,2019-02-05 08:45:28,Mantul cik koh,,2019PRABOWOPRESIDEN 2019GANTIPRESIDEN 2019PrabowoSandi 2019PrabowoPresiden ,134,Positif,0.7787083983421326
0,1092705627262996481,SurYosodipuro_,2019-02-05 08:44:57,Bikin jalan Tol pakai duit Utang Negara yang bayar Rakyat Tapi Rakyat Yang nggak dukung Pakde nggak boleh lewat Jalan Tol Gile Lu Ndro ItuNamanyaJancuk PrabowoIndonesiaMenang,,,2,Netral,0.6271512508392334
0,1092705515182804997,pemudimu,2019-02-05 08:44:30,HANYA ORANG DUNGU YANG BANGGA DENGAN TOL YANG MAHAL MINTA AMPUN BENTUK PENJAJAHAN INI MAH,,,42,Netral,0.48012271523475647
0,1092705308508590080,dukun4duit,2019-02-05 08:43:41,,diaz dias shinta shanti lowongankerja diazyusufilham diaspurnamayusuf info cameltoe dukuncabul pengajiancondet pemilu motogp,,0,Positif,0.7787083983421326
0,1092705200119283713,Adypratama_AP,2019-02-05 08:43:15,,Masa sih yakin mengekang kebebasan berpendapat kayaknya banyakan yang berpendapat ke presiden sih yang diambil hak kebebasannya HoaxPropagandaRusia HoaxnyaGoInternasional,HoaxPropagandaRusia HoaxnyaGoInternasional 2019GantiPresiden ,0,Positif,0.9251351952552795
0,1092704781552865280,supriyono_77,2019-02-05 08:41:36,,justru kita dlm situasi seperti ini yg terbelah mesti konsolidasi dgn kejernihan hati dan akal sehat hakekatnya siapapun presiden terpilih kita yg berdaulat dan konsekwensi dari kegagalan,2019GantiPresiden ,0,Positif,0.9183125495910645
0,1092704621133410305,JackTheRock4,2019-02-05 08:40:57,Mantul cik koh,,2019PRABOWOPRESIDEN 2019GANTIPRESIDEN 2019PrabowoSandi 2019PrabowoPresiden ,134,Positif,0.7787083983421326
0,1092704303364505600,PaatEdwin,2019-02-05 08:39:42,Internal Alhamdulillah vs SW Selisih geb Jika kita naik maka mereka turun SW masih belum bergerak di angka Insya Allah pekan ini Cross Berdoa amp Berusaha,,Internal ,2340,Positif,0.9719952940940857
0,1092704270414008320,Adypratama_AP,2019-02-05 08:39:34,,Mbak please jangan ke PDan ngomongin apa yang belum terjadi geli tau gak sih dengernya paling paling juga nurut sama ketum psi atau sudah HoaxPropagandaRusia HoaxnyaGoInternasional,HoaxPropagandaRusia HoaxnyaGoInternasional 2019GantiPresiden ,0,Netral,0.5424062013626099
0,1092704198859182082,hariagunga,2019-02-05 08:39:17,Kita Kampanye Damai aja ya Gaess Jgn spt yg Onoh Brutal Kita Kampanye Gembira aja Menang kok Ya gak,,,28,Positif,0.8675447702407837
0,1092704196325851136,Sang_khandaq,2019-02-05 08:39:16,,,2019GantiPresiden 2019PrabowoPresidenRI ,0,Positif,0.7787083983421326
0,1092704160917512192,hes_tyyy,2019-02-05 08:39:08,Kalimantan Barat PAS Anak kecil beli sarden April ganti Presiden Anak kecil bajunya biru April Presiden baru Anak kecil menanam PADI April Prabowo Sandi,,,25,Negatif,0.007093915715813637
0,1092703991719387136,firqiana,2019-02-05 08:38:27,Prabowo bilang ia tidak menopang khilafah namun nyatanya Ia mengerti tagar merupakan tagar yang ditunggangi HTI bagikan viralkan sebarkan CapresBunglon,,2019gantipresiden ,6,Negatif,0.0012105146888643503
0,1092703955757355009,ivondarm,2019-02-05 08:38:19,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,,2019GantiPresiden ,35,Negatif,0.029301824048161507
0,1092703850253889536,bprayoga2009,2019-02-05 08:37:54,,Ndeloken ae Tukang ngapusi yo ga bakal dadi presiden,2019GantiPresiden 2019PrabowoPresiden 2019PrabowoSandi ,0,Negatif,0.35169321298599243
0,1092703832524509184,Ag_Noegroho22,2019-02-05 08:37:49,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092703803965505536,hapsarinda,2019-02-05 08:37:42,Prabowo bilang ia tidak menopang khilafah namun nyatanya Ia mengerti tagar merupakan tagar yang ditunggangi HTI bagikan viralkan sebarkan CapresBunglon,,2019gantipresiden ,6,Negatif,0.0012105146888643503
0,1092703770339753986,hes_tyyy,2019-02-05 08:37:34,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092703687108116480,Kerja4As,2019-02-05 08:37:15,,Milad ke Badan Kontak Majelis Taklim BKMT Deklarasikan Dukungan untuk Prabowo Sandi,2019GantiPresiden ,0,Positif,0.9827272295951843
